; CSV, generated by libsigrok4DSL 0.2.0 on Mon May 25 17:28:05 2026
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 100.768 M Samples
Time(s), 0, 1, 2
1.61633204,0,1,0
1.61643204,0,0,0
1.61693404,1,0,0
1.61703404,1,1,0
1.61713204,0,1,0
1.61723204,0,0,0
1.61773404,1,0,0
1.61783404,1,1,0
1.61793206,0,1,0
1.61803206,0,0,0
1.61853406,1,0,0
1.61863406,1,1,0
1.61873206,0,1,0
1.61883206,0,0,0
1.61933406,1,0,0
1.61943406,1,1,0
1.61953206,0,1,0
1.61963206,0,0,0
1.62013406,1,0,0
1.62023406,1,1,0
1.62033206,0,1,0
1.62043206,0,0,0
1.62093406,1,0,0
1.62103406,1,1,0
1.62113208,0,1,0
1.62123208,0,0,0
1.62173408,1,0,0
1.62183408,1,1,0
1.62193208,0,1,0
1.62203208,0,0,0
1.62253408,1,0,0
1.62263408,1,1,0
1.62273208,0,1,0
1.62283208,0,0,0
1.62333408,1,0,0
1.62343408,1,1,0
1.62353208,0,1,0
1.62363208,0,0,0
1.62413408,1,0,0
1.62423408,1,1,0
1.6243321,0,1,0
1.6244321,0,0,0
1.6249341,1,0,0
1.6250341,1,1,0
1.6251321,0,1,0
1.6252321,0,0,0
1.6257341,1,0,0
1.6258341,1,1,0
1.6259321,0,1,0
1.6260321,0,0,0
1.6265341,1,0,0
1.6266341,1,1,0
1.6267321,0,1,0
1.6268321,0,0,0
1.6273341,1,0,0
1.6274341,1,1,0
1.62753212,0,1,0
1.62763212,0,0,0
1.62813412,1,0,0
1.62823412,1,1,0
1.62833212,0,1,0
1.62843212,0,0,0
1.62893412,1,0,0
1.62903412,1,1,0
1.62913212,0,1,0
1.62923212,0,0,0
1.62973412,1,0,0
1.62983412,1,1,0
1.62993212,0,1,0
1.63003212,0,0,0
1.63053412,1,0,0
1.63063412,1,1,0
1.63073212,0,1,0
1.63083214,0,0,0
1.63132412,1,0,0
1.63144414,1,1,0
1.63152214,0,1,0
1.63164214,0,0,0
1.63212414,1,0,0
1.63224414,1,1,0
1.63232214,0,1,0
1.63244214,0,0,0
1.63292414,1,0,0
1.63304414,1,1,0
1.63312214,0,1,0
1.63324214,0,0,0
1.63372414,1,0,0
1.63384414,1,1,0
1.63392214,0,1,0
1.63404214,0,0,0
1.63452414,1,0,0
1.63464414,1,1,0
1.63472216,0,1,0
1.63484216,0,0,0
1.63532416,1,0,0
1.63544416,1,1,0
1.63552216,0,1,0
1.63564216,0,0,0
1.63612416,1,0,0
1.63624416,1,1,0
1.63632216,0,1,0
1.63644216,0,0,0
1.63692416,1,0,0
1.63704416,1,1,0
1.63712216,0,1,0
1.63724216,0,0,0
1.63772416,1,0,0
1.63784416,1,1,0
1.63792218,0,1,0
1.63804218,0,0,0
1.63852418,1,0,0
1.63864418,1,1,0
1.63872218,0,1,0
1.63884218,0,0,0
1.63932418,1,0,0
1.63944418,1,1,0
1.63952218,0,1,0
1.63964218,0,0,0
1.64012418,1,0,0
1.64024418,1,1,0
1.64032218,0,1,0
1.64044218,0,0,0
1.64092418,1,0,0
1.64104418,1,1,0
1.6411222,0,1,0
1.6412422,0,0,0
1.6417242,1,0,0
1.6418442,1,1,0
1.6419222,0,1,0
1.6420422,0,0,0
1.6425242,1,0,0
1.6426442,1,1,0
1.6427222,0,1,0
1.6428422,0,0,0
1.6433242,1,0,0
1.6434442,1,1,0
1.6435222,0,1,0
1.6436422,0,0,0
1.6441242,1,0,0
1.6442442,1,1,0
1.64432222,0,1,0
1.64444222,0,0,0
1.64492422,1,0,0
1.64504422,1,1,0
1.64512222,0,1,0
1.64524222,0,0,0
1.64572422,1,0,0
1.64584422,1,1,0
1.64592222,0,1,0
1.64604222,0,0,0
1.64652422,1,0,0
1.64664422,1,1,0
1.64672222,0,1,0
1.64684222,0,0,0
1.64732422,1,0,0
1.64744422,1,1,0
1.64752224,0,1,0
1.64764224,0,0,0
1.64812424,1,0,0
1.64824424,1,1,0
1.64832224,0,1,0
1.64844224,0,0,0
1.64892424,1,0,0
1.64904424,1,1,0
1.64912224,0,1,0
1.64924224,0,0,0
1.64972424,1,0,0
1.64984424,1,1,0
1.64992224,0,1,0
1.65004224,0,0,0
1.65052424,1,0,0
1.65064424,1,1,0
1.65072226,0,1,0
1.65084226,0,0,0
1.65132426,1,0,0
1.65144426,1,1,0
1.65152226,0,1,0
1.65164226,0,0,0
1.65212426,1,0,0
1.65224426,1,1,0
1.65232226,0,1,0
1.65244226,0,0,0
1.65292426,1,0,0
1.65304426,1,1,0
1.65312226,0,1,0
1.65324226,0,0,0
1.65372426,1,0,0
1.65384426,1,1,0
1.65392228,0,1,0
1.65404228,0,0,0
1.65452428,1,0,0
1.65464428,1,1,0
1.65472228,0,1,0
1.65484228,0,0,0
1.65532428,1,0,0
1.65544428,1,1,0
1.65552228,0,1,0
1.65564228,0,0,0
1.65612428,1,0,0
1.65624428,1,1,0
1.65632228,0,1,0
1.65644228,0,0,0
1.65692428,1,0,0
1.65704428,1,1,0
1.6571223,0,1,0
1.6572423,0,0,0
1.6577243,1,0,0
1.6578443,1,1,0
1.6579223,0,1,0
1.6580423,0,0,0
1.6585243,1,0,0
1.6586443,1,1,0
1.6587223,0,1,0
1.6588423,0,0,0
1.6593243,1,0,0
1.6594443,1,1,0
1.6595223,0,1,0
1.6596423,0,0,0
1.6601243,1,0,0
1.6602443,1,1,0
1.6603223,0,1,0
1.6604423,0,0,0
1.6609243,1,0,0
1.66104432,1,1,0
1.66112232,0,1,0
1.66124232,0,0,0
1.66172432,1,0,0
1.66184432,1,1,0
1.66192232,0,1,0
1.66204232,0,0,0
1.66252432,1,0,0
1.66264432,1,1,0
1.66272232,0,1,0
1.66284232,0,0,0
1.66332432,1,0,0
1.66344432,1,1,0
1.66352232,0,1,0
1.66364232,0,0,0
1.66412432,1,0,0
1.66424432,1,1,0
1.66432234,0,1,0
1.66444234,0,0,0
1.66492434,1,0,0
1.66504434,1,1,0
1.66512234,0,1,0
1.66524234,0,0,0
1.66572434,1,0,0
1.66584434,1,1,0
1.66592234,0,1,0
1.66604234,0,0,0
1.66652434,1,0,0
1.66664434,1,1,0
1.66672234,0,1,0
1.66684234,0,0,0
1.66732434,1,0,0
1.66744434,1,1,0
1.66752236,0,1,0
1.66764236,0,0,0
1.66812436,1,0,0
1.66824436,1,1,0
1.66832236,0,1,0
1.66844236,0,0,0
1.66892436,1,0,0
1.66904436,1,1,0
1.66912236,0,1,0
1.66924236,0,0,0
1.66972436,1,0,0
1.66984436,1,1,0
1.66992236,0,1,0
1.67004236,0,0,0
1.67052436,1,0,0
1.67064436,1,1,0
1.67072238,0,1,0
1.67084238,0,0,0
1.67132438,1,0,0
1.67144438,1,1,0
1.67152238,0,1,0
1.67164238,0,0,0
1.67212438,1,0,0
1.67224438,1,1,0
1.67232238,0,1,0
1.67244238,0,0,0
1.67292438,1,0,0
1.67304438,1,1,0
1.67312238,0,1,0
1.67324238,0,0,0
1.67372438,1,0,0
1.67384438,1,1,0
1.6739224,0,1,0
1.6740424,0,0,0
1.6745244,1,0,0
1.6746444,1,1,0
1.6747224,0,1,0
1.6748424,0,0,0
1.6753244,1,0,0
1.6754444,1,1,0
1.6755224,0,1,0
1.6756424,0,0,0
1.6761244,1,0,0
1.6762444,1,1,0
1.6763224,0,1,0
1.6764424,0,0,0
1.6769244,1,0,0
1.6770444,1,1,0
1.67712242,0,1,0
1.67724242,0,0,0
1.67772442,1,0,0
1.67784442,1,1,0
1.67792242,0,1,0
1.67804242,0,0,0
1.67852442,1,0,0
1.67864442,1,1,0
1.67872242,0,1,0
1.67884242,0,0,0
1.67932442,1,0,0
1.67944442,1,1,0
1.67952242,0,1,0
1.67964242,0,0,0
1.68012442,1,0,0
1.68024442,1,1,0
1.68032244,0,1,0
1.68044244,0,0,0
1.68092444,1,0,0
1.68104444,1,1,0
1.68112244,0,1,0
1.68124244,0,0,0
1.68172444,1,0,0
1.68184444,1,1,0
1.68192244,0,1,0
1.68204244,0,0,0
1.68252444,1,0,0
1.68264444,1,1,0
1.68272244,0,1,0
1.68284244,0,0,0
1.68332444,1,0,0
1.68344444,1,1,0
1.68352246,0,1,0
1.68364246,0,0,0
1.68412446,1,0,0
1.68424446,1,1,0
1.68432246,0,1,0
1.68444246,0,0,0
1.68492446,1,0,0
1.68504446,1,1,0
1.68512246,0,1,0
1.68524246,0,0,0
1.68572446,1,0,0
1.68584446,1,1,0
1.68592246,0,1,0
1.68604246,0,0,0
1.68652446,1,0,0
1.68664446,1,1,0
1.68672248,0,1,0
1.68684248,0,0,0
1.68732448,1,0,0
1.68744448,1,1,0
1.68752248,0,1,0
1.68764248,0,0,0
1.68812448,1,0,0
1.68824448,1,1,0
1.68832248,0,1,0
1.68844248,0,0,0
1.68892448,1,0,0
1.68904448,1,1,0
1.68912248,0,1,0
1.68924248,0,0,0
1.68972448,1,0,0
1.68984448,1,1,0
1.68992248,0,1,0
1.69004248,0,0,0
1.69052448,1,0,0
1.6906445,1,1,0
1.6907225,0,1,0
1.6908425,0,0,0
1.6913245,1,0,0
1.6914445,1,1,0
